C1,C2,R
0.097288,0.14244,1.1403
0.17223,0.21969,1.0998
0.3103,0.33455,1.0267
0.54801,0.4962,0.89207
0.88825,0.69076,0.63813
1.0578,0.77606,0.20719
0.5245,0.49562,0.030467
0.16093,0.29286,0.13323
0.098234,0.33365,0.93614
0.098905,0.50341,1.0424
0.11525,0.75567,0.96895
0.14529,1.1026,0.84144
0.18317,1.5145,0.6282
0.19592,1.7666,0.28703
0.11851,1.3001,0.046307
0.051368,0.723,0.04706
0.034709,0.54328,0.38435
0.052815,0.7379,0.95008
0.093,1.0829,0.87458
0.15796,1.5087,0.66332
0.22344,1.7946,0.29885
0.16903,1.2909,0.033435
0.086101,0.6775,0.026254
0.057122,0.43628,0.2334
0.089278,0.55176,0.95194
0.17209,0.81859,0.93153
0.31804,1.169,0.74217
0.50379,1.4735,0.38407
0.43712,1.1503,0.03581
0.22117,0.58827,0.013965
0.1227,0.32537,0.099685
0.15314,0.34298,0.85247
0.29454,0.50798,0.97837
0.55445,0.73731,0.80755
0.91478,0.9635,0.45141
0.83884,0.79308,0.037108
0.39902,0.3981,0.0092774
0.18849,0.20706,0.064081
0.18629,0.19643,0.79139
0.3257,0.28952,1.0259
0.57441,0.42628,0.90395
0.9333,0.592,0.66042
1.1401,0.67718,0.24126
0.59149,0.44994,0.038059
0.17338,0.27203,0.16523
0.095251,0.31921,0.97709
0.082846,0.47485,1.0553
0.087096,0.70348,0.99366
0.10429,1.0185,0.88799
0.13218,1.4072,0.71574
0.15812,1.7437,0.43874
0.13449,1.5771,0.11828
0.069315,0.90675,0.051184
0.043956,0.55462,0.27262
0.063131,0.59261,0.94845
0.11384,0.71745,0.97072
0.20732,0.82992,0.89592
0.36916,0.88048,0.79357
0.6234,0.80384,0.66099
0.95239,0.55782,0.49634
1.2067,0.23669,0.31102
1.1126,0.057491,0.18162
0.81232,0.014302,0.2889
0.67739,0.0067471,0.80005
0.46093,0.0050093,1.0087
0.15116,0.004704,1.1311
0.034246,0.0051868,1.1841
0.013294,0.0063533,1.1938
0.0093768,0.0083597,1.1952
0.0099597,0.011565,1.1945
0.013703,0.01657,1.1924
0.022115,0.024326,1.1885
0.039316,0.036307,1.1812
0.073972,0.054746,1.1677
0.1434,0.082931,1.1419
0.28062,0.12537,1.092
0.5423,0.1871,0.99263
0.9957,0.26869,0.788
1.5244,0.33707,0.35719
1.0673,0.23592,0.018852
0.39367,0.11678,0.018396
0.15553,0.077044,0.35747
0.15063,0.10647,1.1004
0.17996,0.1624,1.1068
0.22857,0.24686,1.0704
0.29671,0.37144,1.0131
0.37602,0.54886,0.92762
0.43738,0.78627,0.80767
0.42528,1.0697,0.65616
0.30193,1.3428,0.49594
0.14307,1.5104,0.35755
0.054598,1.4931,0.2567
0.023608,1.3392,0.23759
0.014937,1.2716,0.36798
0.014804,1.4257,0.55088
0.018293,1.6685,0.51575
0.022161,1.7389,0.33876
0.022511,1.4177,0.21262
0.0235,1.0098,0.38051
0.037274,0.81966,0.84929
0.070699,0.59449,0.98952
0.13974,0.29646,1.0623
0.28221,0.095129,1.0872
0.56838,0.029214,1.0253
1.1006,0.011906,0.84138
1.8302,0.0060294,0.40115
1.4038,0.0021639,0.011628
0.63034,0.00064328,0.0041748
0.26964,0.00023049,0.045655
0.22864,0.00016661,0.80511
0.36431,0.00021168,1.0887
0.59082,0.00028529,1.0208
0.90265,0.0003886,0.90064
1.1901,0.00051823,0.73722
1.1394,0.00066211,0.64218
0.5139,0.00087844,0.89557
0.035589,0.0013073,1.1704
0.0027971,0.0020158,1.1979
0.00074824,0.0031271,1.199
0.00044949,0.0048661,1.1988
0.00044271,0.0075879,1.1982
0.00058867,0.011848,1.1972
0.00093896,0.018516,1.1957
0.0016719,0.028945,1.1931
0.0031807,0.045243,1.1891
0.0062937,0.070671,1.1826
0.012736,0.11023,1.1719
0.026061,0.17145,1.1542
0.05347,0.2654,1.1243
0.10906,0.40723,1.0726
0.21843,0.61439,0.98052
