aNO,aNP,BrainSum
0.86907,0.8748,1.00E+10
1.002,0.86941,9.98E+09
0.98038,0.88146,9.96E+09
1.1219,0.88382,1.00E+10
1.1739,0.88852,1.01E+10
1.2709,0.83658,1.02E+10
1.209,0.83237,1.01E+10
1.1401,0.87,1.00E+10
0.80339,0.97926,9.99E+09
0.85532,1.029,9.97E+09
1.0204,1.0265,9.95E+09
0.96732,1.0178,9.92E+09
0.90865,0.98387,9.90E+09
0.97588,0.99553,9.89E+09
0.88802,0.99259,9.87E+09
0.87665,0.98289,9.86E+09
0.91862,0.95555,9.85E+09
0.82921,0.98299,9.84E+09
0.85841,0.97132,9.84E+09
0.86486,0.99024,9.83E+09
0.85279,1.0642,9.83E+09
0.86851,1.2074,9.97E+09
0.85532,1.5025,9.98E+09
0.85462,1.6621,9.94E+09
0.86037,1.8166,9.90E+09
0.87034,2.2747,9.88E+09
0.83848,2.3978,9.86E+09
0.85209,2.7302,9.85E+09
0.82781,2.5045,9.85E+09
0.85995,2.4395,9.84E+09
0.83469,2.2519,9.83E+09
0.83623,2.0822,9.82E+09
0.85616,1.8728,9.81E+09
0.86276,1.8215,9.81E+09
0.93757,1.5873,9.81E+09
1.0364,1.5361,9.80E+09
0.96845,1.3979,9.80E+09
0.99006,1.255,9.80E+09
1.0243,1.2202,9.79E+09
1.0663,1.1227,9.79E+09
0.90669,1.1026,9.77E+09
0.88858,1.0516,9.78E+09
0.8163,1.0419,9.77E+09
0.8709,0.97916,9.77E+09
0.84479,0.98593,9.77E+09
0.84409,0.93438,9.78E+09
0.8563,0.96035,9.77E+09
0.84213,0.93311,9.77E+09
0.81742,0.91361,9.77E+09
0.83834,0.93497,9.77E+09
0.83946,0.91459,9.78E+09
0.82149,0.89303,9.77E+09
0.8076,0.91478,9.77E+09
0.79735,0.90939,9.77E+09
0.88676,0.89205,9.76E+09
0.85518,0.88969,9.77E+09
0.90795,0.88872,9.77E+09
0.98978,0.89185,9.77E+09
0.99525,0.92027,9.77E+09
0.95652,0.86363,9.77E+09
1.065,0.86902,9.77E+09
1.1818,0.86657,9.77E+09
1.0994,0.89028,9.77E+09
1.0928,0.88146,9.78E+09
