X,Y,Z
-1.8098,-3.2019,11.149
-2.2029,-3.9691,10.604
-2.7007,-4.9343,10.183
-3.3293,-6.145,9.9296
-4.1198,-7.6522,9.9097
-5.1077,-9.5021,10.227
-6.3282,-11.717,11.034
-7.8076,-14.256,12.544
-9.5444,-16.953,15.017
-11.478,-19.436,18.697
-13.449,-21.066,23.645
-15.169,-21.044,29.489
-16.251,-18.78,35.254
-16.34,-14.426,39.607
-15.302,-9.0418,41.577
-13.32,-4.014,41.146
-10.802,-0.26217,39.093
-8.1808,2.0392,36.352
-5.7701,3.1922,33.56
-3.7287,3.6188,31.005
-2.0934,3.6683,28.751
-0.82868,3.5735,26.772
0.13265,3.4718,25.018
0.86556,3.4367,23.447
1.4401,3.5052,22.033
1.9164,3.6952,20.758
2.3445,4.0172,19.619
2.7651,4.4801,18.616
3.2124,5.0948,17.761
3.7154,5.8749,17.075
4.3003,6.8357,16.589
4.9905,7.9901,16.351
5.8061,9.3414,16.428
6.7615,10.871,16.905
7.8592,12.52,17.885
9.0815,14.166,19.472
10.378,15.6,21.732
11.652,16.53,24.634
12.761,16.63,27.975
13.526,15.665,31.347
13.783,13.637,34.203
13.441,10.863,36.055
12.525,7.8719,36.678
11.176,5.1814,36.177
9.5982,3.1054,34.874
7.9898,1.7167,33.128
6.5012,0.9237,31.216
5.2202,0.57119,29.305
4.1806,0.50961,27.474
3.3794,0.62414,25.752
2.7933,0.83892,24.145
2.3915,1.1107,22.648
2.1432,1.4199,21.256
2.0221,1.7633,19.965
2.0083,2.1479,18.772
2.0887,2.5882,17.678
2.257,3.1037,16.687
2.513,3.7183,15.807
2.8624,4.4597,15.053
3.3162,5.3592,14.448
3.8899,6.4499,14.03
4.6031,7.7634,13.854
5.4771,9.3221,14.002
6.531,11.124,14.583
7.7742,13.119,15.742
9.1935,15.169,17.636
10.735,17.013,20.393
12.281,18.246,24.016
13.641,18.388,28.259
14.568,17.074,32.547
14.828,14.311,36.081
14.297,10.612,38.175
13.036,6.7876,38.593
11.266,3.5506,37.612
9.2751,1.24,35.767
7.3209,-0.16388,33.558
5.5735,-0.86926,31.308
4.1133,-1.1184,29.17
2.9537,-1.1097,27.194
2.0686,-0.97927,25.376
1.4138,-0.80953,23.702
0.94126,-0.64499,22.153
0.60695,-0.50604,20.714
0.37367,-0.39922,19.373
0.21192,-0.32402,18.121
0.099271,-0.27697,16.951
0.019098,-0.25402,15.857
-0.040693,-0.25169,14.835
-0.088883,-0.26767,13.878
-0.13195,-0.30098,12.984
-0.17488,-0.35208,12.148
-0.22185,-0.42288,11.366
-0.27668,-0.51688,10.636
-0.34333,-0.63932,9.9544
-0.42629,-0.79753,9.3191
-0.53094,-1.0014,8.7284
-0.66404,-1.2641,8.1818
-0.8342,-1.6028,7.6801
-1.0525,-2.04,7.2262
-1.3334,-2.605,6.827
-1.6954,-3.3354,6.4952
-2.1624,-4.2789,6.2534
-2.765,-5.4943,6.1405
-3.541,-7.0507,6.2217
-4.5361,-9.0216,6.6039
-5.801,-11.467,7.457
-7.3832,-14.393,9.0375
-9.3075,-17.671,11.696
-11.537,-20.907,15.827
-13.912,-23.311,21.667
-16.087,-23.734,28.911
-17.543,-21.166,36.324
-17.753,-15.647,41.963
-16.492,-8.6889,44.342
-14.009,-2.3601,43.502
-10.881,2.0864,40.705
-7.6943,4.5761,37.315
-4.8352,5.662,34.131
-2.4696,5.9562,31.422
-0.60863,5.9012,29.181
0.81508,5.7602,27.319
1.8971,5.6724,25.749
2.7333,5.7041,24.409
3.4082,5.883,23.266
3.9913,6.2175,22.308
4.5373,6.707,21.536
5.0882,7.3463,20.964
5.675,8.1254,20.619
6.3189,9.0268,20.533
7.031,10.02,20.747
7.8112,11.054,21.303
8.6451,12.052,22.233
9.5007,12.904,23.544
10.326,13.476,25.2
11.049,13.633,27.094
11.589,13.271,29.048
11.867,12.372,30.83
11.83,11.021,32.208
11.468,9.405,33.017
10.82,7.7508,33.201
9.9647,6.2614,32.817
9.0017,5.0666,31.994
8.0267,4.2137,30.88
7.117,3.6874,29.606
6.3251,3.4388,28.272
5.6799,3.411,26.942
5.1918,3.5541,25.659
4.8592,3.8312,24.451
4.6746,4.2195,23.336
4.6285,4.7086,22.331
4.7121,5.2967,21.454
4.9191,5.988,20.726
5.2457,6.7884,20.173
5.6901,7.7019,19.829
6.2511,8.7249,19.736
6.9253,9.8395,19.942
7.7037,11.005,20.502
8.5668,12.147,21.461
9.4785,13.154,22.845
10.382,13.878,24.63
11.197,14.156,26.717
11.828,13.855,28.915
12.181,12.927,30.96
12.185,11.457,32.573
11.82,9.6535,33.547
11.124,7.7877,33.805
10.187,6.1045,33.412
9.1222,4.7601,32.519
8.0404,3.8079,31.304
7.0307,3.2246,29.92
6.1519,2.9479,28.478
5.4348,2.9077,27.048
4.8887,3.0439,25.672
4.5095,3.3131,24.375
4.2864,3.6894,23.174
4.207,4.1612,22.081
4.2603,4.7278,21.11
4.4387,5.3956,20.28
4.738,6.1752,19.612
5.1575,7.077,19.139
5.6984,8.1069,18.901
6.3619,9.2599,18.948
7.1456,10.511,19.341
8.0388,11.803,20.145
9.0158,13.036,21.413
10.029,14.062,23.163
11.003,14.691,25.343
11.836,14.731,27.794
12.411,14.052,30.248
12.626,12.665,32.367
12.421,10.749,33.842
11.806,8.6123,34.503
10.861,6.5792,34.358
9.7113,4.8887,33.562
8.4931,3.6481,32.33
7.322,2.8517,30.859
6.2784,2.4297,29.298
5.4069,2.2932,27.739
4.7229,2.362,26.232
4.2231,2.5765,24.805
3.8943,2.8987,23.472
3.7198,3.3096,22.242
3.6845,3.8045,21.125
3.7767,4.3891,20.131
3.9893,5.076,19.276
4.3201,5.8812,18.582
4.7711,6.8215,18.081
5.3472,7.9094,17.815
6.0538,9.1471,17.841
6.8937,10.516,18.231
7.8611,11.964,19.063
8.9343,13.386,20.414
10.066,14.617,22.326
11.176,15.428,24.764
12.148,15.575,27.566
12.842,14.873,30.422
13.126,13.308,32.916
12.919,11.088,34.656
12.228,8.5973,35.423
11.148,6.2442,35.234
9.8322,4.3212,34.294
8.4444,2.9449,32.876
7.1206,2.0892,31.223
5.9508,1.654,29.5
4.9807,1.5232,27.804
4.2215,1.5982,26.182
3.6634,1.8084,24.654
3.2865,2.1104,23.227
3.0681,2.4832,21.904
2.988,2.9219,20.689
3.0308,3.4331,19.585
3.187,4.0314,18.601
3.4528,4.7365,17.753
3.8304,5.5717,17.061
4.3265,6.5608,16.558
4.9514,7.7248,16.291
5.717,9.0747,16.323
6.6325,10.601,16.74
7.6992,12.254,17.643
8.9005,13.926,19.138
10.19,15.422,21.304
11.478,16.46,24.13
12.627,16.712,27.442
13.459,15.915,30.86
13.804,14.028,33.846
13.552,11.321,35.884
12.712,8.3116,36.697
11.411,5.536,36.346
9.8465,3.3484,35.133
8.2245,1.8547,33.426
6.7047,0.97986,31.519
5.3842,0.57132,29.595
4.304,0.47476,27.745
3.4651,0.56867,26.003
2.8463,0.77125,24.376
2.4168,1.0347,22.861
2.1452,1.3363,21.451
2.0042,1.6706,20.143
1.9725,2.0435,18.933
2.0361,2.4682,17.82
2.1872,2.9634,16.809
2.4248,3.5522,15.906
2.7534,4.2617,15.125
3.1831,5.1225,14.485
3.7288,6.1678,14.022
4.4095,7.4306,13.786
5.2467,8.9366,13.852
6.2607,10.692,14.324
7.4645,12.661,15.34
8.8521,14.73,17.058
10.381,16.666,19.623
11.949,18.095,23.079
13.382,18.536,27.248
