X,Y,Z
2.9125,-7.3765,0.04757
3.3674,-7.2722,0.052108
3.8145,-7.1382,0.057403
4.2521,-6.9747,0.063612
4.6781,-6.7819,0.070932
5.0907,-6.5604,0.079606
5.488,-6.3106,0.089938
5.8681,-6.0331,0.10231
6.2292,-5.7289,0.1172
6.5695,-5.3987,0.1352
6.8872,-5.0437,0.15707
7.1804,-4.665,0.18373
7.4474,-4.2638,0.21633
7.6865,-3.8417,0.25631
7.8958,-3.4001,0.30536
8.0736,-2.9408,0.36557
8.218,-2.4655,0.43933
8.3272,-1.9762,0.52937
8.3992,-1.475,0.63868
8.4321,-0.96423,0.77026
8.4238,-0.44617,0.9269
8.3725,0.076589,1.1106
8.276,0.60132,1.3221
8.1328,1.1252,1.5596
7.9413,1.6451,1.8186
7.701,2.1581,2.0902
7.4118,2.6609,2.3612
7.0751,3.1504,2.6145
6.6935,3.6235,2.8296
6.2712,4.0773,2.9857
5.8137,4.5091,3.0646
5.3277,4.9166,3.0539
4.8204,5.2981,2.9504
4.2993,5.652,2.7607
3.7711,5.9773,2.5006
3.2413,6.2734,2.1922
2.7139,6.54,1.8608
2.1916,6.7769,1.5301
1.6756,6.9842,1.2199
1.1659,7.1618,0.94404
0.66194,7.3098,0.71021
0.16294,7.4281,0.52045
-0.33199,7.5166,0.37255
-0.82344,7.5752,0.26158
-1.3117,7.6038,0.18122
-1.7965,7.6021,0.12496
-2.2774,7.57,0.086767
-2.7534,7.5075,0.06156
-3.2233,7.4144,0.045311
-3.6855,7.2908,0.035015
-4.1387,7.1368,0.028545
-4.5809,6.9527,0.024461
-5.0106,6.7389,0.021828
-5.4258,6.4959,0.020065
-5.8249,6.2241,0.018821
-6.2061,5.9244,0.017892
-6.5676,5.5975,0.01716
-6.9079,5.2444,0.016559
-7.2253,4.8661,0.016052
-7.5183,4.4639,0.015617
-7.7855,4.039,0.015243
-8.0254,3.5927,0.01492
-8.2368,3.1267,0.014643
-8.4185,2.6423,0.014408
-8.5694,2.1414,0.014213
-8.6885,1.6257,0.014055
-8.7749,1.097,0.013933
-8.828,0.55721,0.013845
-8.847,0.0083406,0.01379
-8.8315,-0.54758,0.013768
-8.7811,-1.1084,0.01378
-8.6956,-1.6721,0.013824
-8.5748,-2.2364,0.013903
-8.4187,-2.7992,0.014016
-8.2276,-3.3581,0.014166
-8.0018,-3.911,0.014354
-7.7416,-4.4556,0.014582
-7.4478,-4.9896,0.014853
-7.1209,-5.5109,0.015171
-6.762,-6.0172,0.01554
-6.3719,-6.5063,0.015964
-5.9519,-6.9761,0.01645
-5.5032,-7.4246,0.017005
-5.0272,-7.8496,0.017637
-4.5254,-8.2493,0.018357
-3.9995,-8.6216,0.019176
-3.4513,-8.9649,0.020109
-2.8826,-9.2774,0.021175
-2.2954,-9.5575,0.022396
-1.6919,-9.8037,0.023797
