X-2,X-1,X
2.5354,2.0291,1.8601
3.427,2.5354,2.0291
4.8311,3.427,2.5354
6.9179,4.8311,3.427
9.7558,6.9179,4.8311
12.905,9.7558,6.9179
14.908,12.905,9.7558
14.034,14.908,12.905
10.549,14.034,14.908
6.5441,10.549,14.034
3.4863,6.5441,10.549
1.6044,3.4863,6.5441
0.57737,1.6044,3.4863
0.03984,0.57737,1.6044
-0.26709,0.03984,0.57737
-0.50131,-0.26709,0.03984
-0.76237,-0.50131,-0.26709
-1.1312,-0.76237,-0.50131
-1.7021,-1.1312,-0.76237
-2.6118,-1.7021,-1.1312
-4.0684,-2.6118,-1.7021
-6.3588,-4.0684,-2.6118
-9.7292,-6.3588,-4.0684
-13.834,-9.7292,-6.3588
-16.678,-13.834,-9.7292
-15.405,-16.678,-13.834
-10.484,-15.405,-16.678
-5.2426,-10.484,-15.405
-1.5216,-5.2426,-10.484
0.70682,-1.5216,-5.2426
2.0387,0.70682,-1.5216
3.0117,2.0387,0.70682
3.9983,3.0117,2.0387
5.2502,3.9983,3.0117
6.9331,5.2502,3.9983
9.0761,6.9331,5.2502
11.382,9.0761,6.9331
13.022,11.382,9.0761
12.957,13.022,11.382
11.009,12.957,13.022
8.2021,11.009,12.957
5.6927,8.2021,11.009
3.9907,5.6927,8.2021
3.088,3.9907,5.6927
2.8102,3.088,3.9907
3.0148,2.8102,3.088
3.6512,3.0148,2.8102
4.7577,3.6512,3.0148
6.428,4.7577,3.6512
8.7132,6.428,4.7577
11.376,8.7132,6.428
13.527,11.376,8.7132
13.791,13.527,11.376
11.681,13.791,13.527
8.3856,11.681,13.791
5.4009,8.3856,11.681
3.3663,5.4009,8.3856
2.2353,3.3663,5.4009
1.7538,2.2353,3.3663
1.7094,1.7538,2.2353
1.9948,1.7094,1.7538
2.6038,1.9948,1.7094
3.6172,2.6038,1.9948
5.1903,3.6172,2.6038
7.5044,5.1903,3.6172
10.571,7.5044,5.1903
13.727,10.571,7.5044
15.204,13.727,10.571
13.47,15.204,13.727
9.4897,13.47,15.204
5.5128,9.4897,13.47
2.6924,5.5128,9.4897
1.0213,2.6924,5.5128
0.10793,1.0213,2.6924
-0.41197,0.10793,1.0213
-0.7862,-0.41197,0.10793
-1.1752,-0.7862,-0.41197
-1.7024,-1.1752,-0.7862
-2.499,-1.7024,-1.1752
-3.7394,-2.499,-1.7024
-5.6588,-3.7394,-2.499
-8.4928,-5.6588,-3.7394
-12.147,-8.4928,-5.6588
-15.403,-12.147,-8.4928
-15.771,-15.403,-12.147
-12.317,-15.771,-15.403
-7.3985,-12.317,-15.771
-3.3826,-7.3985,-12.317
-0.82874,-3.3826,-7.3985
0.64971,-0.82874,-3.3826
1.5677,0.64971,-0.82874
2.317,1.5677,0.64971
3.1693,2.317,1.5677
4.3359,3.1693,2.317
6.0056,4.3359,3.1693
8.3058,6.0056,4.3359
11.094,8.3058,6.0056
13.557,11.094,8.3058
14.199,13.557,11.094
12.233,14.199,13.557
8.7756,12.233,14.199
5.5206,8.7756,12.233
3.2564,5.5206,8.7756
1.9605,3.2564,5.5206
1.3484,1.9605,3.2564
1.1673,1.3484,1.9605
1.2721,1.1673,1.3484
1.6169,1.2721,1.1673
2.2369,1.6169,1.2721
3.2417,2.2369,1.6169
4.8161,3.2417,2.2369
7.1908,4.8161,3.2417
10.46,7.1908,4.8161
14.01,10.46,7.1908
15.862,14.01,10.46
14.053,15.862,14.01
9.6022,14.053,15.862
5.1732,9.6022,14.053
2.0719,5.1732,9.6022
0.23007,2.0719,5.1732
-0.83344,0.23007,2.0719
-1.5511,-0.83344,0.23007
-2.2259,-1.5511,-0.83344
-3.0763,-2.2259,-1.5511
-4.2942,-3.0763,-2.2259
-6.0727,-4.2942,-3.0763
-8.5491,-6.0727,-4.2942
-11.55,-8.5491,-6.0727
-14.104,-11.55,-8.5491
-14.503,-14.104,-11.55
-12.053,-14.503,-14.104
-8.2329,-12.053,-14.503
-4.8535,-8.2329,-12.053
-2.5933,-4.8535,-8.2329
-1.3161,-2.5933,-4.8535
-0.67867,-1.3161,-2.5933
-0.40129,-0.67867,-1.3161
-0.31548,-0.40129,-0.67867
-0.3389,-0.31548,-0.40129
-0.44431,-0.3389,-0.31548
-0.64086,-0.44431,-0.3389
-0.96894,-0.64086,-0.44431
-1.5071,-0.96894,-0.64086
-2.3902,-1.5071,-0.96894
-3.8374,-2.3902,-1.5071
-6.1675,-3.8374,-2.3902
-9.6907,-6.1675,-3.8374
-14.117,-9.6907,-6.1675
-17.276,-14.117,-9.6907
-15.856,-17.276,-14.117
-10.409,-15.856,-17.276
-4.75,-10.409,-15.856
-0.82105,-4.75,-10.409
1.5109,-0.82105,-4.75
2.9262,1.5109,-0.82105
4.001,2.9262,1.5109
5.1146,4.001,2.9262
6.4925,5.1146,4.001
8.2186,6.4925,5.1146
10.156,8.2186,6.4925
11.811,10.156,8.2186
12.414,11.811,10.156
11.494,12.414,11.811
9.4531,11.494,12.414
7.2084,9.4531,11.494
5.4424,7.2084,9.4531
4.3759,5.4424,7.2084
3.9621,4.3759,5.4424
4.0972,3.9621,4.3759
4.7208,4.0972,3.9621
5.8326,4.7208,4.0972
7.4484,5.8326,4.7208
9.4827,7.4484,5.8326
11.541,9.4827,7.4484
12.795,11.541,9.4827
12.409,12.795,11.541
10.439,12.409,12.795
7.8694,10.439,12.409
5.6605,7.8694,10.439
4.2057,5.6605,7.8694
3.487,4.2057,5.6605
,3.487,4.2057
,,3.487
